year_month,age,male,female,total,source_url
202101,35,739,766,1505,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,60,685,677,1362,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,85,221,349,570,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,11,731,631,1362,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,36,740,812,1552,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,61,663,687,1350,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,86,193,341,534,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,12,701,713,1414,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,37,727,755,1482,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,62,676,663,1339,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,87,153,268,421,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,13,714,676,1390,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,38,706,723,1429,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,63,608,607,1215,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,88,137,250,387,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
